,Log_98,datetime
237,24.722333333333335,2020-08-01 21:00:00
238,23.85366666666667,2020-08-01 22:00:00
239,22.717166666666667,2020-08-01 23:00:00
240,14.549,2021-08-01 00:00:00
241,14.421,2021-08-01 01:00:00
242,14.085833333333333,2021-08-01 02:00:00
243,13.973999999999998,2021-08-01 03:00:00
244,13.685666666666668,2021-08-01 04:00:00
245,13.252666666666668,2021-08-01 05:00:00
246,13.028,2021-08-01 06:00:00
247,13.076333333333332,2021-08-01 07:00:00
248,12.786833333333334,2021-08-01 08:00:00
249,13.108166666666667,2021-08-01 09:00:00
250,13.83,2021-08-01 10:00:00
251,14.182,2021-08-01 11:00:00
252,14.373333333333333,2021-08-01 12:00:00
253,15.441666666666668,2021-08-01 13:00:00
254,16.2365,2021-08-01 14:00:00
255,16.967000000000002,2021-08-01 15:00:00
256,16.062,2021-08-01 16:00:00
257,15.234333333333334,2021-08-01 17:00:00
258,14.708833333333333,2021-08-01 18:00:00
259,14.931833333333335,2021-08-01 19:00:00
260,15.090833333333334,2021-08-01 20:00:00
261,13.685333333333332,2021-08-01 21:00:00
262,12.239166666666668,2021-08-01 22:00:00
263,11.932166666666667,2021-08-01 23:00:00
264,18.5685,2022-08-01 00:00:00
265,17.141333333333332,2022-08-01 01:00:00
266,16.49083333333333,2022-08-01 02:00:00
267,15.600666666666667,2022-08-01 03:00:00
268,14.740666666666668,2022-08-01 04:00:00
269,15.043166666666666,2022-08-01 05:00:00
270,15.155000000000001,2022-08-01 06:00:00
271,16.617166666666666,2022-08-01 07:00:00
272,20.441,2022-08-01 08:00:00
273,23.486166666666666,2022-08-01 09:00:00
274,25.984166666666667,2022-08-01 10:00:00
275,27.1905,2022-08-01 11:00:00
276,28.175833333333333,2022-08-01 12:00:00
277,29.119500000000002,2022-08-01 13:00:00
278,30.054666666666666,2022-08-01 14:00:00
279,30.372833333333332,2022-08-01 15:00:00
280,30.49083333333333,2022-08-01 16:00:00
281,29.537000000000003,2022-08-01 17:00:00
282,27.961666666666662,2022-08-01 18:00:00
283,26.422833333333333,2022-08-01 19:00:00
284,25.093,2022-08-01 20:00:00
285,23.27716666666667,2022-08-01 21:00:00
286,22.668666666666667,2022-08-01 22:00:00
287,21.52133333333333,2022-08-01 23:00:00
288,21.55333333333333,2019-09-01 00:00:00
289,21.043833333333335,2019-09-01 01:00:00
290,21.043833333333335,2019-09-01 02:00:00
291,20.5195,2019-09-01 03:00:00
292,20.487666666666666,2019-09-01 04:00:00
293,20.281333333333333,2019-09-01 05:00:00
294,17.9345,2019-09-01 06:00:00
295,17.093833333333333,2019-09-01 07:00:00
296,17.918499999999998,2019-09-01 08:00:00
297,19.154833333333332,2019-09-01 09:00:00
298,20.885,2019-09-01 10:00:00
299,21.8235,2019-09-01 11:00:00
300,24.031499999999998,2019-09-01 12:00:00
301,24.6575,2019-09-01 13:00:00
302,24.8995,2019-09-01 14:00:00
303,25.38383333333333,2019-09-01 15:00:00
304,23.870166666666666,2019-09-01 16:00:00
305,21.364166666666666,2019-09-01 17:00:00
306,18.774333333333335,2019-09-01 18:00:00
307,18.489333333333335,2019-09-01 19:00:00
308,18.076666666666668,2019-09-01 20:00:00
